Date/Time - Peak Brightness (UT),Latitude (Deg),Longitude (Deg),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
11/21/2009 08:53:00 PM,22.0S,29.2E,38,32.1,3,-17,-27,1.00E+13,18
01-09-15 10:41,2.0N,28.8E,36,,-10.7,-7.6,11.6,1.39E+11,0.41
05/16/2014 12:42:48 PM,44.2S,176.2W,44,,14.4,4.6,6.5,3.09E+11,0.82
08/23/2014 06:29:41 AM,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3.82E+12,7.6
12-12-14 6:48,33.5N,144.9E,26.3,,11.5,-2.8,-2.2,33000000000,0.11
07/29/2014 07:38:07 AM,49.2S,172.2W,,,,,,73000000000,0.23
06-01-13 22:49,65.6S,138.4E,28.9,,,,,34000000000,0.12
02/17/2015 01:19:50 PM,8.0S,11.2W,39,,-28.2,3.4,4.6,33000000000,0.11
10/17/2014 02:07:36 PM,4.6S,66.3W,39,,,,,72000000000,0.23
12-08-13 3:10,32.8N,165.1W,23.5,,2.3,2.5,-11.3,64000000000,0.2
09-05-14 21:37,22.7N,150.0W,,,,,,35000000000,0.12
02/25/2015 10:53:24 AM,12.4N,122.4W,42,,,,,58000000000,0.19
11-04-14 20:13,43.1N,115.8E,22.2,,-7.2,-12.1,-7.7,1.56E+11,0.45
07/26/2013 11:32:26 AM,21.0N,178.5W,37,,,,,20000000000,0.073
12/25/2010 11:24:00 PM,38.0N,158.0E,26,18.1,18,-2,-4,2.00E+13,33
01-07-15 1:05,45.7N,26.9E,45.5,,-35.4,1.8,-4.4,1.36E+11,0.4
01/25/2013 07:40:18 AM,60.3N,64.6W,,,,,,3.40E+12,6.9
08/28/2014 03:07:45 AM,3.2N,45.4W,,,,,,34000000000,0.12
01/15/2014 02:46:19 AM,18.5S,141.8E,29.6,,,,,1.40E+11,0.41
12/23/2013 08:30:57 AM,39.5N,2.0E,34.3,,-1.1,11.4,-9.9,1.47E+11,0.43
11/26/2014 05:40:16 PM,68.2S,24.0W,37,,-7,16.1,9.4,1.05E+11,0.32
03/18/2014 11:02:37 AM,0.0N,111.8W,30.5,,,,,5.40E+11,1.3
03-03-14 15:00,29.0S,94.9W,,,,,,94000000000,0.29
02/15/2013 03:20:33 AM,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,3.75E+14,440
03/29/2014 01:45:41 PM,28.7S,121.5E,30.7,,10,-12.7,2.2,39000000000,0.13
10-08-09 2:57,4.2S,120.6E,19.1,19.2,14,-16,-6,2.00E+13,33
06/28/2014 02:40:07 AM,18.9N,141.2E,26.3,12.4,12,3.5,-10.5,2.45E+11,0.67
10/21/2014 06:55:37 PM,22.2N,132.9W,,,,,,34000000000,0.12
10-12-13 16:06,19.1S,25.0W,22.2,,-8,8.4,-5.5,1.61E+12,3.5
11/21/2013 01:50:35 AM,44.7N,35.3E,59.3,,-5,-11,-2.7,75000000000,0.23
07/29/2014 03:07:43 AM,33.9S,115.9W,,,,,,53000000000,0.17
03-12-13 10:32,32.7S,17.1E,26,,,,,29000000000,0.1
11/27/2014 12:12:52 PM,18.8S,73.4W,38,,,,,55000000000,0.18
02/18/2014 12:50:44 PM,32.8S,61.5W,,,,,,26000000000,0.092
07/31/2013 03:50:14 AM,31.8S,137.1E,29.1,,17.7,-2.3,-0.1,69000000000,0.22
02/26/2015 10:06:24 PM,68.0N,149.0W,33.7,,5.6,-2.3,-20.2,1.88E+11,0.53
12-09-14 21:19,76.6N,96.3E,26.3,,,,,78000000000,0.24
08-12-13 18:08,34.4S,118.2E,66.6,,,,,44000000000,0.15
01-09-15 17:31,23.3S,49.2W,,,,,,22000000000,0.079
03-04-15 4:30,15.9S,88.1E,39.8,,7.8,-16,-2.5,55000000000,0.18
01-12-13 3:04,15.1S,155.6W,36.1,,,,,48000000000,0.16
02/13/2014 06:47:42 AM,13.3N,110.7W,25,,,,,6.30E+11,1.5
07/30/2013 02:36:58 AM,50.2S,90.2E,25.6,,15.9,-8.6,5.1,3.90E+11,1
09/24/2013 03:31:16 PM,10.3S,164.7W,40.7,,,,,1.60E+11,0.46
04/30/2013 08:40:38 AM,35.5N,30.7W,21.2,,1,9,-8,5.11E+12,10
07/27/2013 08:30:36 AM,0.3N,156.2E,26.5,,16,14.9,-3.3,1.20E+11,0.36
08/29/2014 11:15:39 PM,6.2S,49.9W,,,,,,26000000000,0.092
05/16/2014 08:06:28 PM,39.4S,95.9W,30.8,18,2.9,13.4,-12.5,1.36E+11,0.4
02/20/2013 01:13:07 PM,23.0S,38.8W,,,-11,-8,-1,32000000000,0.1
01-08-14 17:05,1.3S,147.6E,18.7,,-3.4,-43.5,-10.3,31000000000,0.11
05-08-14 19:42,36.9S,87.3E,35.4,,-2,-16.1,9.9,1.05E+12,2.4
04/21/2013 06:23:12 AM,28.1S,64.6W,40.7,,5,14,1,1.07E+12,2.5
12/13/2014 02:53:52 AM,86.7N,162.1W,30.7,,15.3,-13.3,-7.8,44000000000,0.15
09-09-14 18:55,3.2N,137.2E,32.5,,,,,28000000000,0.098
11/26/2014 11:16:51 PM,69.5S,179.7W,23.3,,21.3,2.2,13.4,1.18E+11,0.35
03-08-15 4:26,39.1S,118.6W,,,,,,20000000000,0.073
01-02-15 13:39,31.1S,140.0E,38.1,,4.5,-14.4,-10,20000000000,0.073
03-11-15 6:18,8.0N,119.1E,35.2,,5.5,-10.5,-16,72000000000,0.23
06/26/2014 05:54:41 AM,71.5S,93.4E,28.5,,7,2.9,8.3,61000000000,0.2
10-06-14 20:02,43.7S,85.7E,,,,,,39000000000,0.13
01-12-14 16:00,2.9N,64.4E,37,,-5.2,-15.1,2.6,78000000000,0.24
11/28/2014 11:47:18 AM,45.8S,172.7W,26.1,,0.4,-1.4,13.3,7.00E+11,1.7
10/14/2014 10:25:03 AM,2.0S,119.2E,27.2,,15,-6.9,-3.5,29000000000,0.1
05/29/2014 01:12:36 AM,21.9N,131.1W,28.7,,,,,58000000000,0.19
02-07-13 13:12,18.8S,158.6W,,,,,,65000000000,0.21
05/14/2013 11:20:21 PM,3.0S,76.4E,,,,,,20000000000,0.073
10-03-12 22:50,41.5S,21.9W,,,-2.4,5.5,15.9,2.80E+11,0.75
12/30/2012 07:25:35 AM,17.3N,83.6W,,,,,,1.98E+11,0.55
03/18/2015 12:04:50 AM,5.4S,159.3E,50,,,,,1.21E+11,0.36
10-02-12 16:38,8.1S,111.9W,35,,1.4,15.3,1,4.70E+11,1.2
09/28/2012 05:44:12 AM,6.9S,73.7E,,,,,,38000000000,0.13
05/25/2012 11:31:24 AM,41.8S,36.2W,,,,,,60000000000,0.19
11/20/2012 08:37:31 PM,2.5N,29.6E,33.3,,-12.2,-5.3,5.3,25000000000,0.089
11/20/2012 06:25:11 AM,8.0S,86.0W,,,,,,1.20E+11,0.36
