"","Altitude..km.","Velocity..km.s.","Velocity.Components..km.s...vx","Velocity.Components..km.s...vy","Velocity.Components..km.s...vz","Total.Radiated.Energy..J.","Calculated.Total.Impact.Energy..kt."
"1",38,32.1,3,-17,-27,1e+13,18
"2",36,19.2,-10.7,-7.6,11.6,1.39e+11,0.41
"3",44,18.1,14.4,4.6,6.5,3.09e+11,0.82
"4",22.2,16.2,-2.3,5.7,16.5,3.82e+12,7.6
"5",26.3,16.2,11.5,-2.8,-2.2,3.3e+10,0.11
"6",26.3,12.4,12.2,-2.8,2.2,7.3e+10,0.23
"7",28.9,32.1,10,-6.9,-3.5,3.4e+10,0.12
"8",39,18.6,-28.2,3.4,4.6,3.3e+10,0.11
"9",39,18,-7,-5.2,-14.5,7.2e+10,0.23
"10",23.5,18,2.3,2.5,-11.3,6.4e+10,0.2
"11",28.5,12.4,-12.2,-3.9,-1,3.5e+10,0.12
"12",42,16.2,-2,-3.9,9.9,5.8e+10,0.19
"13",22.2,18.6,-7.2,-12.1,-7.7,1.56e+11,0.45
"14",37,18.6,5,-43.5,9.9,2e+10,0.073
"15",26,18.1,18,-2,-4,2e+13,33
"16",45.5,18,-35.4,1.8,-4.4,1.36e+11,0.4
"17",19.1,12.4,16,14,17,3.4e+12,6.9
"18",44,18.1,-13.7,8.4,15.9,3.4e+10,0.12
"19",29.6,16.2,3.4,-15.6,-10,1.4e+11,0.41
"20",34.3,18,-1.1,11.4,-9.9,1.47e+11,0.43
"21",37,19.2,-7,16.1,9.4,1.05e+11,0.32
"22",30.5,18.1,14,14,13.3,5.4e+11,1.3
"23",35.2,16.2,-10.2,-11,2.2,9.4e+10,0.29
"24",23.3,18.6,12.8,-13.3,-2.4,3.75e+14,440
"25",30.7,19.2,10,-12.7,2.2,3.9e+10,0.13
"26",19.1,19.2,14,-16,-6,2e+13,33
"27",26.3,12.4,12,3.5,-10.5,2.45e+11,0.67
"28",27.2,16.2,-28.2,-1.7,-20.2,3.4e+10,0.12
"29",22.2,18.6,-8,8.4,-5.5,1.61e+12,3.5
"30",59.3,18,-5,-11,-2.7,7.5e+10,0.23
"31",39.8,18,-13.7,1.8,8.3,5.3e+10,0.17
"32",26,18.1,10,2.2,-12.5,2.9e+10,0.1
"33",38,12.4,-2.3,-11,-14.5,5.5e+10,0.18
"34",27.2,19.2,-28.2,3.4,4.6,2.6e+10,0.092
"35",29.1,18.6,17.7,-2.3,-0.1,6.9e+10,0.22
"36",33.7,16.2,5.6,-2.3,-20.2,1.88e+11,0.53
"37",26.3,18.1,17.7,-14.4,2.6,7.8e+10,0.24
"38",66.6,32.1,-7,-43.5,-10.3,4.4e+10,0.15
"39",26.3,16.2,15.3,-13.3,-3.3,2.2e+10,0.079
"40",39.8,18.6,7.8,-16,-2.5,5.5e+10,0.18
