"","Date.Time...Peak.Brightness..UT.","Latitude..Deg.","Longitude..Deg.","Altitude..km.","Velocity..km.s.","Velocity.Components..km.s...vx","Velocity.Components..km.s...vy","Velocity.Components..km.s...vz","Total.Radiated.Energy..J.","Calculated.Total.Impact.Energy..kt."
"1","11/21/2009 08:53:00 PM","22.0S","29.2E",38,32.1,3,-17,-27,1e+13,18
"2","01-09-15 10:41","2.0N","28.8E",36,12.4,-10.7,-7.6,11.6,1.39e+11,0.41
"3","05/16/2014 12:42:48 PM","44.2S","176.2W",44,18.1,14.4,4.6,6.5,3.09e+11,0.82
"4","08/23/2014 06:29:41 AM","61.7S","132.6E",22.2,16.2,-2.3,5.7,16.5,3.82e+12,7.6
"5","12-12-14 6:48","33.5N","144.9E",26.3,12.4,11.5,-2.8,-2.2,3.3e+10,0.11
"6","07/29/2014 07:38:07 AM","49.2S","172.2W",32.5,12.4,-13.7,-1.7,4.6,7.3e+10,0.23
"7","06-01-13 22:49","65.6S","138.4E",28.9,12.4,-1.9,-12.7,9.9,3.4e+10,0.12
"8","02/17/2015 01:19:50 PM","8.0S","11.2W",39,18.6,-28.2,3.4,4.6,3.3e+10,0.11
"9","10/17/2014 02:07:36 PM","4.6S","66.3W",39,32.1,-5,2.5,13.3,7.2e+10,0.23
"10","12-08-13 3:10","32.8N","165.1W",23.5,12.4,2.3,2.5,-11.3,6.4e+10,0.2
"11","09-05-14 21:37","22.7N","150.0W",37,32.1,7.8,-2.3,-3.5,3.5e+10,0.12
"12","02/25/2015 10:53:24 AM","12.4N","122.4W",42,19.2,7.8,-23.7,-7.9,5.8e+10,0.19
"13","11-04-14 20:13","43.1N","115.8E",22.2,12.4,-7.2,-12.1,-7.7,1.56e+11,0.45
"14","07/26/2013 11:32:26 AM","21.0N","178.5W",37,18.6,-7,-23.7,-1,2e+10,0.073
"15","12/25/2010 11:24:00 PM","38.0N","158.0E",26,18.1,18,-2,-4,2e+13,33
"16","01-07-15 1:05","45.7N","26.9E",45.5,19.2,-35.4,1.8,-4.4,1.36e+11,0.4
"17","01/25/2013 07:40:18 AM","60.3N","64.6W",38.1,32.1,14.4,1.8,-0.1,3.4e+12,6.9
